Image url,Title,Design Type,Published,Published date,Total Applies,Total Usages
https://template.canva.com/EAFx_fJom5E/1/0/400w-N8NmaL079Hk.jpg,Orange Minimalist Thanksgiving Dinner Instagram Post,Instagram Post,Profile Only,"Oct 22, 2023",0,0
https://template.canva.com/EAFx-4inPYI/2/0/283w-CGXRAJvYWPs.jpg,Green and Red Modern Hello Winter Document,Document (A4),Profile Only,"Oct 22, 2023",0,0
https://template.canva.com/EAFxy-YJcfs/1/0/400w-cx6pIG-yoPw.jpg,Sepatu Bola Hitam Putih Estetik,Instagram Post,Profile Only,"Oct 20, 2023",0,0
https://template.canva.com/EAFxytlNKZQ/1/0/400w-90qqzAeI1oE.jpg,Promo discount milk drink,Instagram Post,Profile Only,"Oct 20, 2023",0,0
https://template.canva.com/EAFxylU9TWo/1/0/400w-qKWCc6CfsCs.jpg,Hitam dan Putih Promo Mie Rebus Instagram Post,Instagram Post,Profile Only,"Oct 20, 2023",0,0
https://template.canva.com/EAFxxkgWRJY/1/0/225w-TyJ_FZf2bt0.jpg,Merah dan Hitam Simpel Rental Mobil Instagram Story,Your Story,Profile Only,"Oct 20, 2023",0,0
https://template.canva.com/EAFxxhimf5A/2/0/400w-M3wqGdxFckU.jpg,Oranye dan Putih Simpel Pizza Instagram Post,Instagram Post,Profile Only,"Oct 20, 2023",0,0
https://template.canva.com/EAFxxMx_2Cg/1/0/400w-K7rjbRrG1pM.jpg,Green and White Modern Hello Winter Greeting Card,Card (Square),Profile Only,"Oct 20, 2023",0,0
https://template.canva.com/EAFxw87d5ck/1/0/400w-MQ__oQn_RwY.jpg,Promo Bakso Tusuk,Instagram Post,Profile Only,"Oct 20, 2023",0,0
https://template.canva.com/EAFxw8-yq7I/1/0/320w-u9yiaPjDb-w.jpg,Hijau Putih Simpel Mie Goreng Instagram Post,1080 x 1350 px,Profile Only,"Oct 20, 2023",0,0
https://template.canva.com/EAFxwlW-qKQ/1/0/400w-FVHEJfgEJ6s.jpg,Motivation success,Instagram Post,Profile Only,"Oct 20, 2023",0,0
https://template.canva.com/EAFxwBH4Eyo/1/0/400w-OiHvCwIYm_w.jpg,Template Hari Sumpah Pemuda,Instagram Post,Profile Only,"Oct 20, 2023",0,0
https://template.canva.com/EAFxvGMyZLY/1/0/400w-sVdC56hugws.jpg,White simple trick or treat halloween card,Card (Square),Profile Only,"Oct 20, 2023",0,0
https://template.canva.com/EAFxuzaezhM/1/0/400w-FYAANZ07--8.jpg,Black and White ElegantThanksgiving Greeting Card,Card (Square),Profile Only,"Oct 20, 2023",0,0
https://template.canva.com/EAFxssHyTYE/1/0/400w-tKvkGhgz0UA.jpg,Quotes of the day,Instagram Post,Profile Only,"Oct 19, 2023",0,0
https://template.canva.com/EAFxpHvP9V8/1/0/225w-Ml--vCafwg8.jpg,Story instagram promosi teh hijau putih minimalis,Your Story,Profile Only,"Oct 19, 2023",0,0
https://template.canva.com/EAFxo4lbHU0/1/0/400w-_-xkV4CnpWI.jpg,Red and White Simple Hello Winter Card,Card (Square),Profile Only,"Oct 19, 2023",0,0
https://template.canva.com/EAFxouow_YU/2/0/400w-oqrMCC4LccQ.jpg,Kartu ucapan selamat hari sumpah pemuda berwarna merah elegan,Card (148 x 105 mm),Profile Only,"Oct 19, 2023",0,0
https://template.canva.com/EAFxoiSPPAQ/1/0/400w-g6F6BzmQ7ok.jpg,Postingan instagram menu spesial pecel ayam simpel oranye coklat,Instagram Post,Profile Only,"Oct 19, 2023",0,0
https://template.canva.com/EAFxot4y6RE/1/0/320w-nZbNRjDpZJY.jpg,Postingan instagram penjualan nasi goreng modern coklat kuning,1080 x 1350 px,Profile Only,"Oct 19, 2023",0,0
https://template.canva.com/EAFxoknQeZw/1/0/320w-6xgI81fuw0E.jpg,Postingan instagram penjualan mie goreng modern oranye coklat,1080 x 1350 px,Profile Only,"Oct 19, 2023",0,0
